First Name,Last Name,Position,FPPG,Salary,Team,Opponent,Injury Indicator,Injury Details,,,,,,,,,,,
Jahlil,Okafor,C,23.88,4400,PHI,BOS,,,,,,,,,,,,,
Marc,Gasol,C,38.49,7100,MEM,LAL,,,,,,,,,,,,,
Al,Horford,C,35.37,7300,BOS,@PHI,,,,,,,,,,,,,
Jonas,Valanciunas,C,29.18,5800,TOR,ATL,,,,,,,,,,,,,
Joel,Embiid,C,26.71,6400,PHI,BOS,,,,,,,,,,,,,
Andrew,Bogut,C,25.79,4600,DAL,CHI,,,,,,,,,,,,,
Hassan,Whiteside,C,43.48,8600,MIA,@POR,,,,,,,,,,,,,
Karl-Anthony,Towns,C,43.73,9400,MIN,@CHA,,,,,,,,,,,,,
Richaun,Holmes,PF,15.56,3800,PHI,BOS,,,,,,,,,,,,,
Derrick,Williams,PF,15.62,4000,MIA,@POR,,,,,,,,,,,,,
Trey,Lyles,PF,16.39,4200,UTH,DEN,,,,,,,,,,,,,
Larry,Nance,PF,16.48,4300,LAL,@MEM,,,,,,,,,,,,,
Dwight,Powell,PF,17.7,3600,DAL,CHI,,,,,,,,,,,,,
Frank,Kaminsky,PF,18.78,4300,CHA,MIN,,,,,,,,,,,,,
Dario,Saric,PF,19.72,3800,PHI,BOS,,,,,,,,,,,,,
Ersan,Ilyasova,PF,19.73,4600,PHI,BOS,,,,,,,,,,,,,
Cory,Joseph,PG,15.74,4000,TOR,ATL,,,,,,,,,,,,,
Jerryd,Bayless,PG,18.04,3700,PHI,BOS,,,,,,,,,,,,,
Andrew,Harrison,PG,18.37,4300,MEM,LAL,,,,,,,,,,,,,
Emmanuel,Mudiay,PG,24.37,5800,DEN,@UTH,,,,,,,,,,,,,
Dennis,Schroder,PG,28.53,5900,ATL,@TOR,,,,,,,,,,,,,
Ricky,Rubio,PG,29.82,5600,MIN,@CHA,,,,,,,,,,,,,
Rajon,Rondo,PG,30.27,5900,CHI,@DAL,,,,,,,,,,,,,
Goran,Dragic,PG,32.76,7100,MIA,@POR,,,,,,,,,,,,,
Joe,Johnson,SF,16.85,3700,UTH,DEN,,,,,,,,,,,,,
Luol,Deng,SF,17.75,3700,LAL,@MEM,,,,,,,,,,,,,
P.J.,Tucker,SF,17.76,4100,PHO,@GSW,,,,,,,,,,,,,
Wilson,Chandler,SF,18.62,6300,DEN,@UTH,,,,,,,,,,,,,
Brandon,Ingram,SF,20.64,4000,LAL,@MEM,,,,,,,,,,,,,
T.J.,Warren,SF,20.71,5500,PHO,@GSW,,,,,,,,,,,,,
DeMarre,Carroll,SF,21.45,4300,TOR,ATL,,,,,,,,,,,,,
Kent,Bazemore,SF,22.81,5200,ATL,@TOR,,,,,,,,,,,,,
Kyle,Korver,SG,16.16,3500,ATL,@TOR,,,,,,,,,,,,,
Gerald,Henderson,SG,17.32,3800,PHI,BOS,,,,,,,,,,,,,
Will,Barton,SG,18.92,4800,DEN,@UTH,,,,,,,,,,,,,
Jordan,Clarkson,SG,21.01,5500,LAL,@MEM,,,,,,,,,,,,,
Brandon,Knight,SG,22.22,4300,PHO,@GSW,,,,,,,,,,,,,
Marcus,Smart,SG,24.69,5100,BOS,@PHI,,,,,,,,,,,,,
Wesley,Matthews,SG,25.48,4800,DAL,CHI,,,,,,,,,,,,,
Zach,LaVine,SG,26.28,6000,MIN,@CHA,,,,,,,,,,,,,